model,run,ok,error,ttft_ms,total_ms,decode_tps,e2e_tps,eval_count,prompt_eval_count,done_reason,temperature,seed,response_chars
llama3.2:latest,1,True,,108.33837487734854,1074.4773338083178,33.12152946964061,30.712606922136395,33,36,stop,0.7,42,174
llama3.2:latest,2,True,,100.75199999846518,1076.900125015527,32.78191001948672,30.64351023222715,33,36,stop,0.7,42,174
llama3.2:latest,3,True,,101.45633318461478,1059.3193750828505,33.40769880481484,31.152078189279827,33,36,stop,0.7,42,174
llama3.2:latest,4,True,,97.85795793868601,1055.676040938124,33.409266924457064,31.259589798660798,33,36,stop,0.7,42,174
llama3.2:latest,5,True,,97.83170907758176,1065.4723751358688,33.07012729255474,30.97217794669885,33,36,stop,0.7,42,174
llama3.2:latest,6,True,,118.77654120326042,1112.850041128695,32.19077865208188,29.65359103238217,33,36,stop,0.7,42,174
llama3.2:latest,7,True,,112.15012520551682,1078.3520829863846,33.1193698608273,30.602249970723765,33,36,stop,0.7,42,174
llama3.2:latest,8,True,,98.52058300748467,1073.7600829452276,32.812452738063634,30.733122346552463,33,36,stop,0.7,42,174
llama3.2:latest,9,True,,101.22104198671877,1097.8124169632792,32.10944907159429,30.059780241221137,33,36,stop,0.7,42,174
llama3.2:latest,10,True,,139.65145801194012,1239.9977499153465,29.081753840098468,26.61295151725306,33,36,stop,0.7,42,174
llama3.2:latest,11,True,,133.98104207590222,1137.742833001539,31.880073827566825,29.00479707961857,33,36,stop,0.7,42,174
llama3.2:latest,12,True,,111.24158394522965,1088.345875032246,32.74983058809454,30.32124323439206,33,36,stop,0.7,42,174
llama3.2:latest,13,True,,100.6728750653565,1085.1420001126826,32.50482842563668,30.41076651403525,33,36,stop,0.7,42,174
llama3.2:latest,14,True,,99.67091702856123,1076.4185001607984,32.76179081742112,30.657221141285074,33,36,stop,0.7,42,174
llama3.2:latest,15,True,,113.14883409067988,1084.6470419783145,32.93881526511388,30.424643891353345,33,36,stop,0.7,42,174
llama3.2:latest,16,True,,116.59987503662705,1092.209625057876,32.80000020428561,30.213980213048693,33,36,stop,0.7,42,174
llama3.2:latest,17,True,,133.16783402115107,1146.0460419766605,31.593137011597744,28.79465465722716,33,36,stop,0.7,42,174
llama3.2:latest,18,True,,119.86179207451642,1134.4712090212852,31.53923023531219,29.08844203148116,33,36,stop,0.7,42,174
llama3.2:latest,19,True,,132.8595420345664,1101.7789591569453,33.02648232093201,29.95156126892349,33,36,stop,0.7,42,174
llama3.2:latest,20,True,,112.00108285993338,1082.5704578310251,32.970337644285465,30.483004372867214,33,36,stop,0.7,42,174
