model,run,ok,error,ttft_ms,total_ms,decode_tps,e2e_tps,eval_count,prompt_eval_count,done_reason,temperature,seed,response_chars
llama3.2:latest,1,True,,110.31649983488023,988.0979578010738,33.03783616846107,30.36136221429138,30,36,stop,0.0,42,158
llama3.2:latest,2,True,,96.88141709193587,970.8472499623895,33.1820752131149,30.900844598532053,30,36,stop,0.0,42,158
llama3.2:latest,3,True,,101.22200008481741,979.0562081616372,33.03585088525303,30.641754528405126,30,36,stop,0.0,42,158
llama3.2:latest,4,True,,95.70941585116088,984.9571250379086,32.61183548791107,30.458178571829077,30,36,stop,0.0,42,158
llama3.2:latest,5,True,,128.8381670601666,1043.5713750775903,31.70323297090534,28.74743473849067,30,36,stop,0.0,42,158
llama3.2:latest,6,True,,117.8804999217391,1022.6064170710742,32.05390654815653,29.336800062261794,30,36,stop,0.0,42,158
llama3.2:latest,7,True,,102.8987499885261,990.648957900703,32.666846756592264,30.28317928438888,30,36,stop,0.0,42,158
llama3.2:latest,8,True,,109.38504198566079,994.8728340677917,32.75031034793779,30.154607677181552,30,36,stop,0.0,42,158
llama3.2:latest,9,True,,96.65854088962078,983.8517499156296,32.68735570218937,30.49239888283235,30,36,stop,0.0,42,158
llama3.2:latest,10,True,,96.02999989874661,985.9475418925285,32.58728885715417,30.42758232594701,30,36,stop,0.0,42,158
llama3.2:latest,11,True,,104.94445799849927,989.5802079699934,32.78185400141751,30.315885219189507,30,36,stop,0.0,42,158
llama3.2:latest,12,True,,180.24258315563202,1056.140457978472,33.10888270606384,28.40531273408665,30,36,stop,0.0,42,158
llama3.2:latest,13,True,,106.67345789261162,995.3453750349581,32.63296548545576,30.140291754453926,30,36,stop,0.0,42,158
llama3.2:latest,14,True,,100.22862511686981,990.615125047043,32.570125448077064,30.284213557283753,30,36,stop,0.0,42,158
llama3.2:latest,15,True,,114.923374960199,1012.3640839010477,32.31411246568649,29.63360758947303,30,36,stop,0.0,42,158
llama3.2:latest,16,True,,113.26816608197987,1018.9827501308173,32.01891689803714,29.44112645297341,30,36,stop,0.0,42,158
llama3.2:latest,17,True,,101.02679207921028,1009.8984171636403,31.90769653228643,29.705958035122762,30,36,stop,0.0,42,158
llama3.2:latest,18,True,,107.76599985547364,1022.5943748373538,31.69993497476988,29.337145537077273,30,36,stop,0.0,42,158
llama3.2:latest,19,True,,105.44483293779194,985.2287501562387,32.96263938500642,30.449781327679045,30,36,stop,0.0,42,158
llama3.2:latest,20,True,,98.965167067945,982.2760839015245,32.831021837652386,30.541311645135778,30,36,stop,0.0,42,158
