model,run,ok,error,ttft_ms,total_ms,decode_tps,e2e_tps,eval_count,prompt_eval_count,done_reason,temperature,seed,response_chars
llama3.2:latest,1,True,,112.52300022169948,947.6236251648515,33.52889360118255,30.60286724590163,29,36,stop,0.7,,160
llama3.2:latest,2,True,,94.70612509176135,965.2704589534551,33.31172536251321,31.07937233728872,30,36,stop,0.7,,150
llama3.2:latest,3,True,,103.75366685912013,1141.4053339976817,32.76629439025404,30.663953424341617,35,36,stop,0.7,,196
llama3.2:latest,4,True,,98.21108402684331,1181.2101248651743,33.24102666991563,31.323808712038645,37,36,stop,0.7,,193
llama3.2:latest,5,True,,98.6495828256011,940.8854579087347,33.244843669519824,30.822030201696435,29,36,stop,0.7,,159
llama3.2:latest,6,True,,100.25554103776813,1298.6540000420064,33.37788003602443,31.571149820255286,41,36,stop,0.7,,197
llama3.2:latest,7,True,,98.75116706825793,965.6907499302179,33.4510046297166,31.065845874745968,30,36,stop,0.7,,193
llama3.2:latest,8,True,,184.13620814681053,1337.2933331411332,32.95301149892048,29.163384751491975,39,36,stop,0.7,,212
llama3.2:latest,9,True,,107.02383308671415,1162.4323748983443,33.16251348498828,30.96954349980852,36,36,stop,0.7,,200
llama3.2:latest,10,True,,107.70354117266834,989.7982080001384,32.8762899160257,30.30920823812585,30,36,stop,0.7,,162
llama3.2:latest,11,True,,105.89179093949497,1057.305415859446,32.58309444812528,30.265616273220676,32,36,stop,0.7,,174
llama3.2:latest,12,True,,96.99833416379988,1186.3517090678215,32.12915184944803,30.34513266583236,36,36,stop,0.7,,188
llama3.2:latest,13,True,,106.69583408161998,1174.9886670149863,31.826479549283576,29.78752134598554,35,36,stop,0.7,,200
llama3.2:latest,14,True,,111.35149979963899,1086.901874979958,32.80199650795601,30.36152642630091,33,36,stop,0.7,,189
llama3.2:latest,15,True,,125.44204201549292,979.6243750024587,32.77988658707984,29.60318336293665,29,36,stop,0.7,,165
llama3.2:latest,16,True,,115.24470802396536,1425.7648750208318,32.81139892607453,30.860628404355325,44,36,stop,0.7,,207
llama3.2:latest,17,True,,108.00883290357888,1022.2471668384969,32.81420050598711,30.32534694703403,31,36,stop,0.7,,151
llama3.2:latest,18,True,,108.9478328358382,994.9070829898119,32.732882460406614,30.153569627674674,30,36,stop,0.7,,150
llama3.2:latest,19,True,,116.01695884019136,1131.0187918134034,32.51225655754155,30.061392654216267,34,36,stop,0.7,,160
llama3.2:latest,20,True,,123.58470796607435,1202.181916916743,30.595295190968095,28.281909352954166,34,36,stop,0.7,,186
